symbol,covered_days,missing_days,bucket,latest_any_date,min_date_in_60d_window,max_date_in_60d_window,total_rows
000001,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000002,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000006,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000007,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000008,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000009,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000010,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000011,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000012,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000014,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000016,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000017,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000019,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000020,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000021,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000025,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000026,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000027,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000028,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000029,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000030,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000031,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000032,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000034,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000035,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000036,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000037,7,53,severe_gap_1_19,2026-06-18,2026-06-09,2026-06-18,21
000039,7,53,severe_gap_1_19,2026-06-18,2026-06-09,2026-06-18,21
000042,7,53,severe_gap_1_19,2026-06-18,2026-06-09,2026-06-18,21
000045,7,53,severe_gap_1_19,2026-06-18,2026-06-09,2026-06-18,21
000048,7,53,severe_gap_1_19,2026-06-18,2026-06-09,2026-06-18,21
000049,7,53,severe_gap_1_19,2026-06-18,2026-06-09,2026-06-18,21
000050,7,53,severe_gap_1_19,2026-06-18,2026-06-09,2026-06-18,21
000055,7,53,severe_gap_1_19,2026-06-18,2026-06-09,2026-06-18,21
000056,7,53,severe_gap_1_19,2026-06-18,2026-06-09,2026-06-18,21
000058,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000059,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000060,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000061,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000062,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000063,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000065,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000066,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000068,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000069,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000070,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000078,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000088,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000089,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000090,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000096,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000099,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000100,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000151,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000153,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000155,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000156,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000157,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000158,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
000159,3,57,severe_gap_1_19,2026-06-18,2026-06-15,2026-06-18,17
